"Image.Id.","Gene.Description"
162775,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNA helicase, 68kD)"
770452,"TIA1 cytotoxic granule-associated RNA-binding protein"
308281,"Human mRNA for upstream binding factor (hUBF)"
299388,"nuclear transport factor 2 (placental protein 15)"
544664,"matrin 3"
340734,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"
753457,"NADH dehydrogenase (ubiquinone) Fe-S protein 1 (75kD) (NADH-coenzyme Q reductase)"
240634,"inositol(myo)-1(or 4)-monophosphatase 1"
768316,"anthracycline resistance-associated"
44255,"ribosomal protein, mitochondrial, L3"
42558,"glycine amidinotransferase (L-arginine:glycine amidinotransferase)"
810504,"proteolipid protein 2 (colonic epithelium-enriched)"
40781,"Human interleukin enhancer binding factor 3 mRNA, complete cds"
810600,"Human ubiquitin carrier protein (E2-EPF) mRNA, complete cds"
811108,"thyroid hormone receptor interactor 6"
207920,"solute carrier family 17 (sodium phosphate), member 2"
361171,"Tat interactive protein (60kD)"
346552,"Symplekin; Huntingtin interacting protein I"
811843,"sulfite oxidase"
547247,"stanniocalcin"
321529,"Human rap2 mRNA for ras-related protein"
292213,"postmeiotic segregation increased 2-like 12"
324210,"sigma receptor (SR31747 binding protein 1)"
823590,"sialyltransferase"
197176,"GDP dissociation inhibitor 2"
144816,"solute carrier family 31 (copper transporters), member 2"
210887,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70-interacting protein)"
771236,"protocadherin 1 (cadherin-like 1)"
146123,"protein tyrosine phosphatase, receptor type, K"
42739,"Homo sapiens tyrosine phosphatase (PRL-1) gene, complete cds"
362853,"protein tyrosine kinase 9"
511832,"peroxisome proliferative activated receptor, gamma"
770080,"paxillin"
199403,"lectin, galactoside-binding, soluble, 8 (galectin 8)"
230385,"phosphatidylinositol-4-phosphate 5-kinase, type II, beta"
33327,"discs, large (Drosophila) homolog 3 (neuroendocrine-dlg)"
190887,"myeloid differentiation primary response gene (88)"
221808,"nucleosome assembly protein 1-like 4"
22918,"nucleolar protein p40"
48614,"E74-like factor 4 (ets domain transcription factor)"
298963,"metastasis associated 1"
810743,"myeloid leukemia factor 2"
172765,"exostoses (multiple)-like 1"
213890,"2,4-dienoyl CoA reductase 1, mitochondrial"
471200,"Homo sapiens mRNA for zinc finger protein, complete cds"
823876,"protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform"
823598,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"
50188,"ring finger protein 4"
26314,"syntaxin binding protein 3"
178463,"transcription factor 8 (represses interleukin 2 expression)"
246304,"Homo sapiens mRNA; cDNA DKFZp564L176 (from clone DKFZp564L176)"
246120,"HMT1 (hnRNP methyltransferase, S. cerevisiae)-like 2"
767049,"proteasome (prosome, macropain) 26S subunit, ATPase, 6"
292933,"ESTs"
813673,"Human mRNA for hepatoma-derived growth factor, complete cds"
246549,"proteasome (prosome, macropain) subunit, beta type, 2"
210405,"proteasome (prosome, macropain) activator subunit 2 (PA28 beta)"
810124,"platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit (29kD)"
33949,"phosphoribosyl pyrophosphate synthetase-associated protein 1"
130884,"phosphate cytidylyltransferase 2, ethanolamine"
357220,"Human mRNA for p52 and p64 isoforms of N-Shc, complete cds"
28823,"clathrin-associated protein AP47 homolog 2"
812196,"UDP-glucose ceramide glucosyltransferase"
726779,"calponin 1, basic, smooth muscle"
810612,"S100 calcium-binding protein A11 (calgizzarin)"
31842,"UDP-galactose transporter related"
823940,"transducer of ERBB2, 1"
343443,"RNA-binding protein gene with multiple splicing"
23772,"leucine-zipper-like transcriptional regulator, 1"
361565,"glutamate dehydrogenase 1"
550355,"protein kinase C-like 2"
70002,"KIAA0138 gene product"
823851,"AE-binding protein 1"
120881,"proteasome (prosome, macropain) subunit, alpha type, 4"
44975,"isopentenyl-diphosphate delta isomerase"
160793,"discs, large (Drosophila) homolog 1"
358457,"heterogeneous nuclear ribonucleoprotein H1 (H)"
592359,"Ke4 gene, mouse, human homolog of"
811920,"interleukin 11 receptor, alpha"
45542,"Human insulin-like growth factor binding protein 5 (IGFBP5) mRNA"
810282,"inositol 1,3,4-triphosphate 5/6 kinase"
136744,"speckle-type POZ protein"
768562,"zinc finger protein homologous to Zfp103 in mouse"
234191,"Human guanine nucleotide exchange factor mRNA, complete cds"
261204,"ESTs, Highly similar to HIGH MOBILITY GROUP PROTEIN HMGI-C [H.sapiens]"
810063,"Human hERV1 mRNA, complete cds"
248531,"GUANINE-MONOPHOSPHATE SYNTHETASE"
360168,"RAB interacting factor"
753285,"glycogenin"
301122,"extracellular matrix protein 1"
769676,"glutathione S-transferase Zeta 1 (maleylacetoacetate isomerase)"
NA,""
194364,"Homo sapiens g16 protein (g16) mRNA, complete cds"
289551,"fragile X mental retardation, autosomal homolog 1"
810934,"Human elastin gene, partial cds and partial 3'UTR"
755975,"dystroglycan 1 (dystrophin-associated glycoprotein 1)"
769921,"ubiquitin carrier protein E2-C"
345858,"cisplatin resistance associated"
510702,"intestinal carboxylesterase; liver carboxylesterase-2"
130153,"suppressor of Ty (S.cerevisiae) 5 homolog"
265680,"coxsackie virus and adenovirus receptor"
110467,"caveolin 2"
376516,"cell division cycle 4-like"
753587,"butyrophilin, subfamily 3, member A3"
52933,"LIV-1 protein, estrogen regulated"
204335,"CD24 antigen (small cell lung carcinoma cluster 4 antigen)"
470179,"Homo sapiens clone 24810 mRNA sequence"
66946,"U2 small nuclear ribonucleoprotein auxiliary factor, small subunit 2"
123802,"microfibrillar-associated protein 1"
196501,"Arginine-rich protein"
204755,"splicing factor, arginine/serine-rich 11"
183462,"mannosidase, alpha, class 2C, member 1"
767034,"ilvB (bacterial acetolactate synthase)-like"
810092,"pleckstrin homology, Sec7 and coiled/coil domains 2-like"
360047,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3"
509588,"TATA box binding protein (TBP)-associated factor, RNA polymerase II, J, 20kD"
365930,"TATA box binding protein (TBP)-associated factor, RNA polymerase II, F, 55kD"
48136,"mu-adaptin-related protein-2; mu subunit of AP-4"
756488,"TAR (HIV) RNA-binding protein 2"
160838,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2"
726637,"t-complex-associated-testis-expressed 1-like"
245330,"Human Krueppel-related zinc finger protein (H-plk) mRNA, complete cds"
293859,"Putative prostate cancer tumor suppressor"
345208,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)"
128783,"peroxisome biogenesis factor 13"
811911,"RNA binding motif protein 4"
159455,"similar to vaccinia virus HindIII K4L ORF"
361097,"ubiquitin-conjugating enzyme E2D 3 (homologous to yeast UBC4/5)"
308588,"FK506-binding protein 8 (38kD)"
754538,"DR1-associated protein 1 (negative cofactor 2 alpha)"
727210,"excision repair cross-complementing rodent repair deficiency, complementation group 4"
771206,"polymerase (DNA directed), delta 2, regulatory subunit (50kD)"
813675,"Human D9 splice variant B mRNA, complete cds"
754355,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A"
548957,"general transcription factor II, i, pseudogene 1"
510542,"transmembrane glycoprotein"
813707,"regulator of G-protein signalling 16"
213136,"B-cell translocation gene 2 (pheochromacytoma cell-3)"
175123,"mitogen-activated protein kinase 7"
813184,"tumor necrosis factor, alpha-induced protein 1 (endothelial)"
37234,"mitogen-activated protein kinase kinase kinase kinase 2"
810974,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3"
35077,"nuclear protein, marker for differentiated aortic smooth muscle and down-regulated with vascular injury"
156045,"secretory carrier membrane protein 3"
49860,"pyruvate dehydrogenase kinase, isoenzyme 2"
127519,"26S proteasome-associated pad1 homolog"
361048,"Human 100 kDa coactivator mRNA, complete cds"
768272,"golgi autoantigen, golgin subfamily a, 2"
202535,"metallothionein 1G"
812105,"transmembrane protein"
756847,"suppressin (nuclear deformed epidermal autoregulatory factor-1 (DEAF-1)-related)"
26021,"discs, large (Drosophila) homolog 4"
124781,"squalene epoxidase"
46897,"phosphomevalonate kinase"
41356,"protein phosphatase 2, regulatory subunit B (B56), alpha isoform"
26578,"pescadillo (zebrafish) homolog 1, containing BRCT domain"
347434,"nucleolar autoantigen (55kD) similar to rat synaptonemal complex protein"
131653,"ribosomal protein, mitochondrial, S12"
37491,"thyroid receptor interacting protein 10 (CDC42-interacting protein)"
129146,"cytochrome c oxidase subunit VII-related protein"
752652,"transcription factor 7-like 2 (T-cell specific, HMG-box)"
129865,"serine/threonine kinase 15"
299679,"phosphoserine phosphatase-like"
809494,"CD151 antigen"
NA,""
47475,"Homo sapiens inducible protein mRNA, complete cds"
243358,"inhibitor of growth family, member 1"
380394,"eukaryotic translation initiation factor 1A, Y chromosome"
144932,"deleted in oral cancer (mouse, homolog) 1"
823691,"cyclin G2"
248371,"coatomer protein complex, subunit alpha"
243343,"chaperonin containing TCP1, subunit 2 (beta)"
770462,"carboxypeptidase Z"
241985,"imprinted in Prader-Willi syndrome"
127928,"Homo sapiens HMG box containing protein 1 mRNA, complete cds"
813591,"peroxisomal acyl-CoA thioesterase"
755416,"MAD (mothers against decapentaplegic, Drosophila) homolog 5"
347373,"transcription elongation factor B (SIII), polypeptide 1 (15kD, elongin C)"
377152,"NADH dehydrogenase (ubiquinone) Fe-S protein 4 (18kD) (NADH-coenzyme Q reductase)"
198917,"Homo sapiens GT212 mRNA"
203351,"Golgi vesicular membrane trafficking protein p18"
340558,"actin related protein 2/3 complex, subunit 5 (16 kD)"
202904,"splicing factor, arginine/serine-rich 7 (35kD)"
811842,"signal recognition particle 72kD"
243580,"chromodomain helicase DNA binding protein 2"
130820,"protein encoded by CAG trinucleotide repeats"
212640,"Rho GTPase activating protein 4"
823901,"UV radiation resistance associated gene"
256664,"H2A histone family, member X"
66317,"H1 histone family, member 2"
767183,"hematopoietic cell-specific Lyn substrate 1"
589433,"RNA 3'-terminal phosphate cyclase"
210862,"Peroxisomal acyl-coenzyme A oxidase [human, liver, mRNA, 3086 nt]"
740027,"translin-associated factor X"
108667,"pre-mRNA splicing factor SF3a (120 kDa subunit), similar to S. cerevisiae PRP21"
668442,"discoidin domain receptor family, member 2"
813854,"H.sapiens mRNA for pur alpha extended 3'untranslated region"
134476,"synaptobrevin-like 1"
809353,"interferon regulatory factor 3"
212078,"integrin, alpha 1"
525518,"ubiquitin specific protease 7 (herpes virus-associated)"
752732,"bleomycin hydrolase"
812251,"mitogen-activated protein kinase-activated protein kinase 2"
194214,"TG-interacting factor (TALE family homeobox)"
823930,"actin related protein 2/3 complex, subunit 1A (41 kD)"
365060,"RAB11A, member RAS oncogene family"
234237,"pirin"
471266,"DiGeorge syndrome critical region 6"
755239,"methyltransferase-like 1"
72050,"chloride channel, nucleotide-sensitive, 1A"
754046,"DNA segment on chromosome X (unique) 9879 expressed sequence"
154749,"dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)"
813751,"sialyltransferase 4C (beta-galactosidase alpha-2,3-sialytransferase)"
299154,"phosphatidylinositol glycan, class K"
770216,"ankyrin repeat-containing protein"
549146,"stimulated trans-acting factor (50 kDa)"
241880,"H.sapiens Sp17 gene"
254321,"nuclear DNA-binding protein"
809992,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2"
166236,"glucose-6-phosphate dehydrogenase"
184365,"ESTs"
210317,"RAB11B, member RAS oncogene family"
177737,"purine-rich element binding protein A"
33690,"pre-mRNA cleavage factor Im (68kD)"
511066,"poly(A) polymerase"
194182,"Homo sapiens mRNA for leptin receptor gene-related protein"
41591,"meningioma (disrupted in balanced translocation) 1"
770868,"NGFI-A binding protein 2 (ERG1 binding protein 2)"
810986,"hemochromatosis candidate gene V"
197888,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"
134748,"glycine cleavage system protein H (aminomethyl carrier)"
768443,"microsomal glutathione S-transferase 1"
50506,"mitogen-activated protein kinase 6"
768299,"butyrate response factor 1 (EGF-response factor 1)"
323506,"mitogen-activated protein kinase 1"
809939,"mitogen-activated protein kinase 3"
753467,"solute carrier family 2 (facilitated glucose transporter), member 3"
173228,"glia maturation factor, beta"
214990,"gelsolin (amyloidosis, Finnish type)"
230218,"GCN5 (general control of amino-acid synthesis, yeast, homolog)-like 1"
306901,"P311 protein"
143519,"FK506-binding protein 2 (13kD)"
811999,"eukaryotic translation termination factor 1"
241412,"E74-like factor 1 (ets domain transcription factor)"
138936,"erythrocyte membrane protein band 7.2 (stomatin)"
184175,"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1"
33826,"mitogen-activated protein kinase kinase 1"
810053,"heat shock protein, neuronal DNAJ-like 1"
809916,"zinc finger protein 144 (Mel-18)"
810057,"cold shock domain protein A"
810039,"defender against cell death 1"
262231,""
201628,"ESTs"
183337,"major histocompatibility complex, class II, DM alpha"
265874,"nuclear factor I/C (CCAAT-binding transcription factor)"
123926,"cathepsin K (pycnodysostosis)"
841340,"transporter 1, ABC (ATP binding cassette)"
125092,"UDP-N-acetyl-alpha-D-galactosamine:(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase (GalNAc-T)"
563673,"antiquitin 1"
701112,"xeroderma pigmentosum, complementation group C"
783729,"v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)"
782800,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
612274,"tubulin, alpha 1 (testis specific)"
840691,"signal transducer and activator of transcription 1, 91kD"
841334,"stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)"
726086,"tissue factor pathway inhibitor 2"
840788,"Thymosin, beta 10"
80915,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"
491066,"activin A receptor, type I"
712378,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"
840940,"poly(A)-binding protein-like 1"
898198,"sialomucin CD164"
713382,"PCTAIRE protein kinase 1"
79502,"methionine adenosyltransferase II, alpha"
784593,"ESTs"
773319,"ribosomal protein S6 kinase, 70kD, polypeptide 1"
773599,"retinoblastoma-binding protein 4"
898148,"IQ motif containing GTPase activating protein 1"
827144,"KIAA0104 gene product"
950092,"Homo sapiens mRNA; cDNA DKFZp566L0424 (from clone DKFZp566L0424)"
80399,"splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)"
773254,"splicing factor proline/glutamine rich (polypyrimidine tract-binding protein-associated)"
897952,"proteasome (prosome, macropain) subunit, alpha type, 5"
80549,"pre-B-cell leukemia transcription factor 2"
842989,"myosin, light polypeptide 6, alkali, smooth muscle and non-muscle"
713469,"MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)"
81518,"apelin; peptide ligand for APJ receptor"
810859,"natural killer cell transcript 4"
949914,"glutamyl-prolyl-tRNA synthetase"
898237,"HLA-B associated transcript-3"
786067,"cell division cycle 25B"
839594,"ribosomal protein L38"
897544,"lamin A/C"
897567,"lactate dehydrogenase A"
842836,"protease inhibitor 2 (anti-elastase), monocyte/neutrophil"
77391,"TNF receptor-associated factor 2"
897570,"heat shock protein 75"
726147,"mitogen-activated protein kinase kinase 4"
75923,"Human zinc finger protein mRNA, complete cds"
843094,"ubiquitin-like 1 (sentrin)"
795288,"ubiquitin specific protease 4 (proto-oncogene)"
80708,"ubiquitin fusion degradation 1-like"
725274,"tetratricopeptide repeat domain 1"
898109,"Homo sapiens BAC clone RG459N13 from 7p15"
897670,"Human transposon-like element mRNA"
814696,"karyopherin (importin) beta 2"
897982,"eukaryotic translation initiation factor 3, subunit 8 (110kD)"
843249,"NGFI-A binding protein 1 (ERG1 binding protein 1)"
950574,"H3 histone, family 3B (H3.3B)"
843067,"transcription factor CP2"
81599,"ubiquitin specific protease 14 (tRNA-guanine transglycosylase)"
39593,"somatostatin"
813266,"four and a half LIM domains 1"
825013,"H.sapiens mRNA for PHAPI2a protein"
843248,"ESTs"
231355,"vesicle-associated membrane protein 2 (synaptobrevin 2)"
785933,"sushi-repeat-containing protein, X chromosome"
839552,"nuclear receptor coactivator 1"
898265,"splicing factor, arginine/serine-rich 5"
824041,"splicing factor, arginine/serine-rich 9"
843076,"signal transducing adaptor molecule (SH3 domain and ITAM motif) 1"
712577,"holocytochrome c synthase (cytochrome c heme-lyase)"
786083,"ubiquitin-conjugating enzyme E2 variant 2"
840702,"SELENOPHOSPHATE SYNTHETASE ; Human selenium donor protein"
310105,"retinoic acid- and interferon-inducible protein (58kD)"
838389,"unc119 (C.elegans) homolog"
51746,"regulator of G-protein signalling 7"
815774,"Src-like-adapter"
825080,"cytokine-inducible kinase"
75415,"histidine triad nucleotide-binding protein"
785415,"Human phosphatidylinositol (4,5)bisphosphate 5-phosphatase homolog mRNA, partial cds"
898062,"cell division cycle 20, S.cerevisiae homolog"
825442,"protein tyrosine phosphatase type IVA, member 2"
814595,"protein kinase C binding protein 1"
510396,"mitogen-activated protein kinase kinase kinase 12"
759865,"multimerin"
898328,"early development regulator 2 (homolog of polyhomeotic 2)"
781362,"plectin 1, intermediate filament binding protein, 500kD"
841308,"myosin, light polypeptide kinase"
79624,"interferon-induced protein 41, 30kD"
416959,"nuclear factor I/B"
767994,"striatin, calmodulin-binding protein"
80910,"solute carrier family 1 (neutral amino acid transporter), member 5"
949928,"zinc finger protein 220"
789204,"translocation protein 1"
504877,"mitogen-activated protein kinase kinase kinase 5"
713782,"a disintegrin and metalloproteinase domain 15 (metargidin)"
877651,"rcd1 (required for cell differentiation, S.pombe) homolog 1"
897563,"KIAA0864 protein"
784126,"thiosulfate sulfurtransferase (rhodanese)"
841617,"Human mRNA for ornithine decarboxylase antizyme, ORF 1 and ORF 2"
840524,"golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1"
843110,"GDP dissociation inhibitor 1"
52079,"protein tyrosine phosphatase, receptor type, R"
772220,"for protein disulfide isomerase-related"
784830,"D123 gene product"
843352,"proteasome (prosome, macropain) subunit, beta type, 7"
758662,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9"
841620,"dihydropyrimidinase-like 2"
842863,"N-myc downstream regulated"
897751,"serine/threonine kinase"
760298,"protease, cysteine, 1 (legumain)"
796757,"clathrin-associated/assembly/adaptor protein, small 3 (22kD)"
824352,"RAD23 (S. cerevisiae) homolog B"
724387,"small nuclear ribonucleoprotein polypeptide C"
788832,"prostate differentiation factor"
841689,"ATPase, H+ transporting, lysosomal (vacuolar proton pump), subunit 1"
77728,"solute carrier family 20 (phosphate transporter), member 2"
78869,"cell membrane glycoprotein, 110000M(r) (surface antigen)"
825451,"vesicle docking protein p115"
842818,"lysyl-tRNA synthetase"
825224,"RAE1 (RNA export 1, S.pombe) homolog"
81394,"lysophospholipase-like"
814409,"lysophosphatidic acid acyltransferase alpha"
613126,"ubiquitin specific protease 13 (isopeptidase T-3)"
52629,"calcium/calmodulin-dependent protein kinase I"
825677,"arsA (bacterial) arsenite transporter, ATP-binding, homolog 1"
824602,"interferon, gamma-inducible protein 16"
842820,"inducible poly(A)-binding protein"
726236,"paired mesoderm homeo box 1"
789091,"H2A histone family, member L"
810703,"high density lipoprotein binding protein"
949934,"heterogeneous nuclear ribonucleoprotein A0"
786084,"chromobox homolog 1 (Drosophila HP1 beta)"
824527,"guanylate kinase 1"
841691,"ESTs"
815239,"guanine nucleotide exchange factor; 115-kD; mouse Lsc homolog"
898218,"insulin-like growth factor binding protein 3"
796137,"golgi autoantigen, golgin subfamily a, 4"
774036,"glutathione-S-transferase like"
713647,"tetraspan 3"
684661,"Rev interacting protein"
705188,"Human clone A9A2BRB6 (CAC)n/(GTG)n repeat-containing mRNA"
827013,"tumor protein 53-binding protein, 1"
785371,"N-myristoyltransferase 1"
686164,"diacylglycerol kinase, zeta (104kD)"
825323,"cytoskeleton-associated protein 1"
705110,"caspase 9, apoptosis-related cysteine protease"
842806,"cyclin-dependent kinase 4"
843139,"copine I"
785575,"interferon gamma receptor 2 (interferon gamma transducer 1)"
789232,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4"
795543,"thioredoxin peroxidase (antioxidant enzyme)"
839890,"poly(rC)-binding protein 1"
774071,"Clathrin assembly lymphoid-myeloid leukemia gene"
785793,"capping protein (actin filament) muscle Z-line, alpha 1"
40562,"sarcoglycan, beta (43kD dystrophin-associated glycoprotein)"
815235,"autoantigen"
713886,"calponin 2"
841679,"calcium and integring binding protein (DNA-dependent protein kinase interacting protein)"
796258,"sarcoglycan, alpha (50kD dystrophin-associated glycoprotein)"
825433,"ESTs"
773344,"solute carrier family 16 (monocarboxylic acid transporters), member 2 (putative transporter)"
788745,"novel RGD-containing protein"
73381,"general transcription factor IIA, 1 (37kD and 19kD subunits)"
47908,"Human TB1 gene mRNA, 3' end"
788190,"hyaluronoglucosaminidase 2"
788566,"Purkinje cell protein 4"
897652,"intersectin (SH3 domain protein 1A)"
711959,"polymerase (RNA) III (DNA directed) (62kD)"
760299,"regulated in glioma"
814378,"serine protease inhibitor, Kunitz type, 2"
824426,"ribosomal protein S23"
109888,"zinc finger protein 169"
840517,"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)"
789014,"solute carrier family 12 (potassium/chloride transporters), member 4"
950578,"Human NADH:ubiquinone oxidoreductase subunit B13 mRNA, complete cds"
897806,"hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"
781097,"neurotrophic tyrosine kinase, receptor-related 1"
796904,"pleomorphic adenoma gene-like 1"
627939,"cysteine and glycine-rich protein 3 (cardiac LIM protein)"
781018,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
564803,"forkhead (Drosophila)-like 16"
898317,"cullin 4A"
841093,"cullin 1"
144777,"HS1 binding protein"
826350,"spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)"
79022,"FBJ murine osteosarcoma viral oncogene homolog B"
843312,"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3"
740914,"C-terminal binding protein 1"
795738,"guanine nucleotide binding protein 10"
739126,"tissue specific transplantation antigen P35B"
815285,"protein with polyglutamine repeat"
814465,"postmeiotic segregation increased 2-like 3"
712848,"MAP-kinase activating death domain"
772261,"mitogen-activated protein kinase 14"
897774,"adenine phosphoribosyltransferase"
824382,"COP9 homolog"
741841,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (S.cerevisiae CHL1-like helicase)"
162208,"actin related protein 2/3 complex, subunit 2 (34 kD)"
897814,"peroxisome biogenesis factor 1"
810552,"B-cell associated protein"
824906,"thyroid hormone receptor interactor 3"
840818,"filamin B, beta (actin-binding protein-278)"
711450,"nuclear matrix protein p84"
897594,"RNA-binding protein S1, serine-rich domain"
767345,"ESTs, Moderately similar to cadherin 12 [H.sapiens]"
897636,"SEC13 (S. cerevisiae)-like 1"
668182,"zinc finger protein 193"
809648,"zinc finger protein 162"
781704,"thyroid hormone receptor interactor 7"
785334,"thyroid hormone receptor interactor 4"
1409509,"troponin T1, skeletal, slow"
213607,"aldolase B, fructose-bisphosphate"
755474,"isoleucine-tRNA synthetase"
448619,""
269606,"N-methylpurine-DNA glycosylase"
322079,"ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)"
346009,"phosphofructokinase, liver"
379920,""
450745,""
878178,""
878578,""
486110,"profilin 2"
489489,"lamin B receptor"
487704,"sorting nexin 2"
506369,""
1475730,"chaperonin containing TCP1, subunit 6A (zeta 1)"
1486109,"eukaryotic translation initiation factor 3, subunit 2 (beta, 36kD)"
32257,"signal recognition particle 9kD"
1374571,"paired basic amino acid cleaving enzyme (furin, membrane associated receptor protein)"
1471841,"ATPase, Na+/K+ transporting, alpha 1 polypeptide"
1473300,"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit"
1474174,"matrix metalloproteinase 2 (gelatinase A, 72kD gelatinase, 72kD type IV collagenase)"
815535,"Treacher Collins-Franceschetti syndrome 1"
815284,"peptidase D"
83011,"ribosomal protein S4, Y-linked"
712460,"cathepsin B"
592592,"mucin 5, subtype B, tracheobronchial"
502518,"laminin, beta 2 (laminin S)"
263716,"collagen, type VI, alpha 1"
878652,"postmeiotic segregation increased 2-like 12"
741880,"pre-B-cell leukemia transcription factor 1"
71626,"zinc finger protein 268"
782406,"adenylosuccinate synthase"
85171,"ADP-ribosylation factor 4"
809454,"uroporphyrinogen III synthase (congenital erythropoietic porphyria)"
755145,"villin 2 (ezrin)"
753418,"vasodilator-stimulated phosphoprotein"
782789,"arginine vasopressin receptor 1A"
812965,"v-myc avian myelocytomatosis viral oncogene homolog"
260303,"v-ets avian erythroblastosis virus E26 oncogene homolog 2"
712341,"ESTs, Highly similar to ribonuclease 6 precursor [H.sapiens]"
814731,"aryl hydrocarbon receptor-interacting protein"
796181,"growth arrest-specific 6"
897632,"requiem, apoptosis response zinc finger gene"
700792,"cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)"
781019,"paraoxonase 2"
782692,"phosphatidylinositol 4-kinase, catalytic, beta polypeptide"
815534,"integrin cytoplasmic domain-associated protein 1"
71101,"endothelial cell protein C/activated protein C receptor"
789011,"angio-associated, migratory cell protein"
788107,"amphiphysin-like"
711768,"lysophospholipase II"
429182,"dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit"
786155,"ESTs, Highly similar to similar to Dvl-1 product encoded by GenBank Accession Number U10115 [M.musculus]"
949932,"Major histocompatibility complex, class II, Y box-binding protein I; DNA-binding protein B"
75254,"cysteine and glycine-rich protein 2 (LIM domain only, smooth muscle)"
739993,"brain and reproductive organ-expressed (TNFRSF1A modulator)"
781014,"suppression of tumorigenicity 5"
212165,"thioredoxin-dependent peroxide reductase 1 (thiol-specific antioxidant 1, natural killer-enhancing factor B)"
824591,"heterogeneous nuclear ribonucleoprotein F"
811771,"DiGeorge syndrome critical region gene DGSI"
626502,"actin related protein 2/3 complex, subunit 1B (41 kD)"
786607,"transcription elongation factor A (SII)-like 1"
796253,"polymerase (RNA) II (DNA directed) polypeptide J (13.3kD)"
897987,"Homo sapiens (clone CC6) NADH-ubiquinone oxidoreductase subunit mRNA, 3' end cds"
75009,"EphB4"
814508,"protein phosphatase 1, regulatory subunit 7"
840821,"signal sequence receptor, delta (translocon-associated protein delta)"
753700,"Ras-related GTP-binding protein"
840776,"serum/glucocorticoid regulated kinase"
898073,"transmembrane protein (63kD), endoplasmic reticulum/Golgi intermediate compartment"
795936,"translin"
815287,"H.sapiens mRNA for skeletal muscle abundant protein"
530814,"selenoprotein P, plasma, 1"
826459,"protein phosphatase 6, catalytic subunit"
842928,"SULT1C sulfotransferase"
877613,"dynactin 1 (p150, Glued (Drosophila) homolog)"
787861,"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2"
625923,"phosphoenolpyruvate carboxykinase 2 (mitochondrial)"
773724,"Fas (TNFRSF6)-associated via death domain"
823871,"hevin"
897971,"coatomer protein complex, subunit beta"
782488,"caspase 8, apoptosis-related cysteine protease"
825214,"M phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)"
796996,"immunoglobulin (CD79A) binding protein 1"
824922,"upstream transcription factor 2, c-fos interacting"
897626,"RAB7, member RAS oncogene family"
843070,"nucleoporin 88kD"
810942,"isocitrate dehydrogenase 3 (NAD+) gamma"
587525,"zinc finger protein 183 (RING finger, C3HC4 type)"
814460,"surfeit 5"
714210,"putative nucleic acid binding protein RY-1"
758329,"tryptophan rich basic protein"
840606,"hydroxysteroid (17-beta) dehydrogenase 4"
